ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
"Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)",6500;8454;26190,GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0030878;GO:0005737,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;thyroid gland development;cytoplasm,14.07.05;14.13.01.01;16.01;47.03.21.03.06;70.03,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;thyroid gland;cytoplasm",The GCM proteins GCMa/1 and GCMb/2 are novel zinc-containing transcription factors critical for glial cell differentiation in fly and for placental as well as parathyroid gland development in mouse. Experiments identify the SCF(hFBW2) E3 complex as the key machinery that targets hGCMa to the ubiquitin-proteasome degradation system.,SKP1;CUL1;FBXW2
"Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)",9978;8451;1642,GO:0016567;GO:0005515;GO:0006974;GO:0006511;GO:0045087;GO:0051607;GO:0019048,protein ubiquitination;protein binding;cellular response to DNA damage stimulus;ubiquitin-dependent protein catabolic process;innate immune response;defense response to virus;modulation by virus of host process,14.07.05;16.01;32.01.09;14.13.01.01;36.25.16.01,"modification by ubiquitination, deubiquitination;protein binding;DNA damage response;proteasomal degradation (ubiquitin/proteasomal pathway);innate immune response (invertebrates and vertebrates)","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome (PMID: 16964240). Viruses have evolved several strategies to evade the immune system of the host. Hepatitis B virus X protein, like paramyxovirus SV5-V protein, hijack the CUL4-DDB1 E3 ubiquitin ligase complex to promote polyubiquitination and rapid turnover of STAT proteins, thereby blocking the antiviral response of the host cells (PMID:19966799, PMID:10559305).",RBX1;CUL4A;DDB1
"(ER)-localized multiprotein complex, Ig heavy chains associated",12304;22027;18453;14828;19035;320011;67838;64136;12282;29867,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,"Complex isolated in mouse lymphoma cell lines Ag8(8). The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.",Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Dnajb11;Sdf2l1;Hyou1;Cabp1
"(ER)-localized multiprotein complex, in absence of Ig heavy chains",12304;22027;18453;14828;19035;320011;64136;12282;29867,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,"The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.",Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Sdf2l1;Hyou1;Cabp1
"Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)",5289;30849,GO:0006605;GO:0005515;GO:0007167;GO:0005886;GO:0046854;GO:0090160,protein targeting;protein binding;enzyme-linked receptor protein signaling pathway;plasma membrane;phosphatidylinositol phosphate biosynthetic process;Golgi to lysosome transport,14.04;16.01;30.05.01;70.02,"protein targeting, sorting and translocation;protein binding;receptor enzyme mediated signalling;eukaryotic plasma membrane / membrane attached","The homologous Vps34p-Vps15p complex in yeast mediates protein trafficking. Both human Ptdlns 3-kinase (VPS34) and  yeast Vps34p have identical restricted specificities, using only Ptdlns and not PtdIns4P or PtdIns(4,5P)2 as substrate.",PIK3C3;PIK3R4
N-NOS-CHIP-HSP70-1 complex,3303;4842;10273,GO:0043161;GO:0006511;GO:0005737,proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm,14.13.01.01;70.03,proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm,"Cells for analysis were treated with lactacystin, a selective inhibitor of the proteasome. The authors found that CHIP acts to ubiquitylate nNOS and that hsp70 and hsp40 can facilitate this conjugation reaction.",HSPA1A;NOS1;STUB1
"Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)",282307;282306,GO:0005524;GO:0005886;GO:0046854;GO:0048015,ATP binding;plasma membrane;phosphatidylinositol phosphate biosynthetic process;phosphatidylinositol-mediated signaling,16.19.03;70.02,ATP binding;eukaryotic plasma membrane / membrane attached,"Phosphatidylinositol 3-kinases (PI3Ks) are lipid kinases that phosphorylate phosphatidylinositol 4,5-bisphosphate at the 3-position of the inositol ring, and thus generate phosphatidylinositol 3,4,5-trisphosphate (PIP3 ), which, in turn, initiates a vast array of signaling events. PI3Ks are heterodimers, composed of catalytic and regulatory subunits, that are activated by growth factor-receptor tyrosine kinases.",PIK3R1;PIK3CA
BP-SMAD complex,571;4093;10804;5702;2071;4601;7071;7045,GO:0045893;GO:0005634,"positive regulation of transcription, DNA-templated;nucleus",11.02.03.04.01;70.10,transcription activation;nucleus,"Homozygous knockout mice for the homeobox protein Msx1 (Hox7) die at birth exhibiting severe abnormalities limited to the craniofacial region, including a complete cleft of the secondary palate. Results suggest that the BP-SMAD complex is required for transcriptional activation of the mouse Msx1 gene.",BACH1;SMAD9;GJB6;PSMC3;ERCC3;MXI1;KLF10;TGFBI
Csnk2a1-Dusp6 complex,12995;67603,GO:0030234;GO:0050790;GO:0035556;GO:0030182;GO:0007420,enzyme regulator activity;regulation of catalytic activity;intracellular signal transduction;neuron differentiation;brain development,18.02.01;30.01;43.03.13;47.03.01.01.01,enzymatic activity regulation / enzyme regulator;cellular signalling;neuron;brain,"This complex can include ERK2 protein.CK2 can selectively phosphorylate MKP3, suggesting cross-regulation between CK2alpha and MKP3, as well as a modulation of ERK2-MAPK signaling by CK2alpha via MKP3.",Csnk2a1;Dusp6
InsP3R1-HAP1A-Htt complex,25262;29424;29430,GO:0019722,calcium-mediated signaling,30.01.09.03,Ca2+ mediated signal transduction,HAP1A facilitates functional effects of Htt and Htt(exp) on InsP3R1 in planar lipid bilayers (PMID:15379999).,Itpr1;Htt;Hap1
InsP3R1-HAP1A-Htt complex,15114;16438;15194,GO:0019722,calcium-mediated signaling,30.01.09.03,Ca2+ mediated signal transduction,HAP1A facilitates functional effects of Htt and Htt(exp) on InsP3R1 in planar lipid bilayers (PMID:15379999).,Hap1;Itpr1;Htt
Prolyl 4-hydroxylase (alpha(I)-type),5034;5033,GO:0018126;GO:0006479;GO:0005515;GO:0005783,protein hydroxylation;protein methylation;protein binding;endoplasmic reticulum,14.07.09;16.01;70.07,"posttranslational modification of amino acids (e.g. hydroxylation, methylation);protein binding;endoplasmic reticulum",Prolyl 4-hydroxylase (EC 1.14.11.2) catalyzes the formation of 4-hydroxyproline in collagens and related proteins.,P4HB;P4HA1
Prolyl 4-hydroxylase (alpha(II)-type),5034;18452,GO:0018126;GO:0006479;GO:0005515;GO:0005783,protein hydroxylation;protein methylation;protein binding;endoplasmic reticulum,14.07.09;16.01;70.07,"posttranslational modification of amino acids (e.g. hydroxylation, methylation);protein binding;endoplasmic reticulum",Prolyl 4-hydroxylase (EC 1.14.11.2) catalyzes the formation of 4-hydroxyproline in collagens and related proteins.,P4HB;P4ha2
Prolyl 4-hydroxylase (alpha(III)-type),5034;283208,GO:0018126;GO:0006479;GO:0005515;GO:0005783,protein hydroxylation;protein methylation;protein binding;endoplasmic reticulum,14.07.09;16.01;70.07,"posttranslational modification of amino acids (e.g. hydroxylation, methylation);protein binding;endoplasmic reticulum",Prolyl 4-hydroxylase (EC 1.14.11.2) catalyzes the formation of 4-hydroxyproline in collagens and related proteins.,P4HB;P4HA3
WIP-WASp-actin-myosin-IIa complex,7456;10627;4627;7454;4637;59,GO:0050896;GO:0030036;GO:0005856,response to stimulus;actin cytoskeleton organization;cytoskeleton,36.25;42.04.03;70.04,animal specific systemic sensing and response;actin cytoskeleton;cytoskeleton,The multiprotein complex is important for NK cell function. Killer cell immunoglobulin-like receptor inhibitory signaling affects proteins involved in cytoskeletal rearrangements. WIP plays a central role in the formation of the complex and in the regulation of NK cell activity.,WIPF1;MYL12A;MYH9;WAS;MYL6;ACTA2
Polycystin-1-E-cadherin-beta-catenin complex,999;1499;5310,GO:0045216;GO:0007043;GO:0030855;GO:0002009;GO:0001822;GO:0005886;GO:0005737,cell-cell junction organization;cell-cell junction assembly;epithelial cell differentiation;morphogenesis of an epithelium;kidney development;plasma membrane;cytoplasm,42.06.04;45.03.09;47.03.07.01;70.02;70.03,intercellular junction (gap junction/adherens junction);epithelium;kidney;eukaryotic plasma membrane / membrane attached;cytoplasm,Complex is disrupted in ADPKD cells.,CDH1;CTNNB1;PKD1
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex,999;1499;5310;2319,GO:0030301,cholesterol transport,,,"The authors conclude that even though the large multiprotein complex formed by polycystin-1, E-cadherin, beta-catenin and flotillin-2 is not associated with typical lipid rafts, it contains cholesterol molecules that mediate interactions between complexed proteins and may represent a specific membrane domain organization.",CDH1;CTNNB1;PKD1;FLOT2
TRAP complex,9282;9862;10001;7067;892;9412;5469;9442;9968;84246;29079;9440;9969;9967;10025;51003,GO:2001141;GO:0006355;GO:0051090;GO:0009755;GO:0023052;GO:0005634,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;regulation of DNA-binding transcription factor activity;hormone-mediated signaling pathway;signaling;nucleus",11.02.03.04;18.02.09;30.01.09.08;30.01;70.10,transcriptional control;regulator of transcription factor;hormone mediated signal transduction;cellular signalling;nucleus,"The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors.  Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors.",MED14;MED24;MED6;THRA;CCNC;MED21;MED1;MED27;MED12;MED10;MED4;MED17;MED13;THRAP3;MED16;MED31
RHOA-IP3R-TRPC1 complex,7220;387;3708,GO:0008324;GO:0006812;GO:0005216;GO:0006875;GO:0005886,cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;plasma membrane,20.01.01.01;20.03.01.01;34.01.01.01;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.);eukaryotic plasma membrane / membrane attached","Cells were stimulated with thrombin. The authors showed that thrombin stimulation of endothelial cells induced translocation of Rho, and subsequent co-localization of Rho with TRPC1 and IP3R at the plasmalemma.",TRPC1;RHOA;ITPR1
TRP1-G alpha-11-IP3R3-CAV1 signaling complex,2767;7220;857;3710,GO:0008324;GO:0006812;GO:0005216;GO:0006875;GO:0005886,cation transmembrane transporter activity;cation transport;ion channel activity;cellular metal ion homeostasis;plasma membrane,20.01.01.01;20.03.01.01;34.01.01.01;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;homeostasis of metal ions (Na, K, Ca etc.);eukaryotic plasma membrane / membrane attached",The results demonstrate that caveolar microdomains provide a scaffold for  assembly of key Ca(2+) signaling proteins into a complex and  coordination of the molecular interactions leading to the activation of SOC (store-operated Ca(2+) influx).,GNA11;TRPC1;CAV1;ITPR3
Nuclear pore complex,683983;292085;None;499974;300259;362335;None;None;299706;294429;25497;113929;58958;65274;117021;25281;81738;None;113975;245922;53372;362281;287830;366016;297522;291874;295692;81929,GO:0005643;GO:0015031;GO:0007049,nuclear pore;protein transport;cell cycle,20.01.10;10.03,protein transport;cell cycle,"All trafficking of macromolecules between the cytoplasm and the nucleus occurs through nuclear pore complexes (NPCs), which are supramolecular assemblies at points of fusion between the inner and outer nuclear membranes. NPCs are composed of an eightfold symmetric spoke-ring complex, cytoplasmic fibers, and a nuclear basket.",Nup43;Nup133;Nup160;Nupl2;Aaas;Nup205;Nup214;Tpr;Nup37;Ranbp2;Nup50;Nup88;Nup210;Nup62;Nup155;Nup153;Nup98;Nup107;Pom121;Nup58;Nup54;Rae1;Nup85;Nup188;Sec13;Nup93;Nup35;SEH1L
FHL2-p53-HIPK2 complex,7157;2274;28996,GO:2001141;GO:0006355;GO:0005634,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus",11.02.03.04;70.10,transcriptional control;nucleus,,TP53;FHL2;HIPK2
Epo-R-IP(3)R type II-TRPC2 complex,13857;22064;16439,GO:0008324;GO:0006812;GO:0015267;GO:0005886,cation transmembrane transporter activity;cation transport;channel activity;plasma membrane,20.01.01.01;20.03.01;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport;eukaryotic plasma membrane / membrane attached",Mutant analysis data demonstrates a requirement for IP(3)R binding domains in Epo-modulated Ca 2+ influx through TRPC2.,Epor;Trpc2;Itpr2
Epo-R-PLC-gamma 1-IP(3)R type II-TRPC2 signaling complex,13857;18803;22064;16439,GO:0008324;GO:0006812;GO:0015267;GO:0005886,cation transmembrane transporter activity;cation transport;channel activity;plasma membrane,20.01.01.01;20.03.01;70.02,"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport;eukaryotic plasma membrane / membrane attached","The experiments support the conclusion that after Epo stimulation, PLC-gamma activation produces IP3, which activates IP3R, and IP3R interaction with TRPC2 contributes to and is required for channel opening.",Epor;Plcg1;Trpc2;Itpr2
Exocyst complex,None;171455;64632;50556;245709;60627;116654;252881,GO:0005515;GO:0015031;GO:0006887;GO:0005886,protein binding;protein transport;exocytosis;plasma membrane,16.01;20.01.10;20.09.16.09.03;70.02,protein binding;protein transport;exocytosis;eukaryotic plasma membrane / membrane attached,"The exocyst is a conserved eight-subunit complex involved in the docking of exocytic vesicles. It is thought to be involved in directing vesicles to their precise sites of fusion. The exocyst is regulated by many small GTPases, including members of the Rab, Rho and Ral families.",Exoc1;Exoc2;Exoc7;Exoc6;Exoc8;Exoc5;Exoc4;Exoc3
LSD1 complex,23028;7764;3303;3304;1487;3065;6239;51317;112885;10363;10362;55758;7750;23186,GO:0006265;GO:0045892;GO:0006476;GO:0018126;GO:0006479;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;protein hydroxylation;protein methylation;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;14.07.04;14.07.09;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus","CoREST positively regulates LSD1 function, while BHC80 inhibits CoREST/LSD1-mediated demethylation in vitro. These findings suggest that LSD1-mediated histone demethylation is regulated dynamically in vivo.",KDM1A;ZNF217;HSPA1A;HSPA1B;CTBP1;HDAC1;RREB1;PHF21A;PHF21B;HMG20A;HMG20B;RCOR3;ZMYM2;RCOR1
